joke_id,joke,Processed_joke,cluster,sorted_topics,main_topic
1," A man visits the doctor. The doctor says ""I have bad news for you.You have cancer and Alzheimer's disease"".   The man replies ""Well,thank God I don't have cancer!"" ",man visit doctor doctor say news cancer alzheimer disease man reply god cancer,"[(0, 0.5600935), (1, 0.0024735795), (2, 0.0031055517), (3, 0.0028512133), (4, 0.0018744516), (5, 0.00188853), (6, 0.0030962632), (7, 0.002898913), (8, 0.0021456894), (9, 0.41957226)]","[(0, 0.5600935), (9, 0.41957226), (2, 0.0031055517), (6, 0.0030962632), (7, 0.002898913), (3, 0.0028512133), (1, 0.0024735795), (8, 0.0021456894), (5, 0.00188853), (4, 0.0018744516)]",0
2," This couple had an excellent relationship going until one day he came home from work to find his girlfriend packing. He asked her why she was leaving him and she told him that she had heard awful things about him.    ""What could they possibly have said to make you move out?""    ""They told me that you were a pedophile.""    He replied, ""That's an awfully big word for a ten year old.""  ",excellent relationship going day came home work find packing asked leaving heard thing could said make move told pedophile replied word year,"[(0, 0.0014264857), (1, 0.0014771065), (2, 0.0018544908), (3, 0.0017026118), (4, 0.0011193352), (5, 0.0011277421), (6, 0.9865934), (7, 0.0017310958), (8, 0.0012813058), (9, 0.0016864203)]","[(6, 0.9865934), (2, 0.0018544908), (7, 0.0017310958), (3, 0.0017026118), (9, 0.0016864203), (1, 0.0014771065), (0, 0.0014264857), (8, 0.0012813058), (5, 0.0011277421), (4, 0.0011193352)]",6
3, Q. What's 200 feet long and has 4 teeth?    A. The front row at a Willie Nelson Concert. ,foot teeth row nelson concert,"[(0, 0.9421527), (1, 0.0061787777), (2, 0.007757387), (3, 0.0071220733), (4, 0.0046822107), (5, 0.004717377), (6, 0.007734185), (7, 0.0072412225), (8, 0.005359738), (9, 0.007054344)]","[(0, 0.9421527), (2, 0.007757387), (6, 0.007734185), (7, 0.0072412225), (3, 0.0071220733), (9, 0.007054344), (1, 0.0061787777), (8, 0.005359738), (5, 0.004717377), (4, 0.0046822107)]",0
4, Q. What's the difference between a man and a toilet?    A. A toilet doesn't follow you around after you use it. ,difference man toilet toilet doesn follow use,"[(0, 0.004341242), (1, 0.0044952966), (2, 0.0056437952), (3, 0.00518158), (4, 0.003406487), (5, 0.0034320718), (6, 0.005626915), (7, 0.005268266), (8, 0.003899414), (9, 0.95870495)]","[(9, 0.95870495), (2, 0.0056437952), (6, 0.005626915), (7, 0.005268266), (3, 0.00518158), (1, 0.0044952966), (0, 0.004341242), (8, 0.003899414), (5, 0.0034320718), (4, 0.003406487)]",9
5," Q.	What's O. J. Simpson's Internet address?   A.	Slash, slash, backslash, slash, slash, escape. ",internet address slash slash backslash slash slash escape,"[(0, 0.0038208135), (1, 0.0039564003), (2, 0.96410555), (3, 0.004560412), (4, 0.0029981171), (5, 0.0030206349), (6, 0.00495236), (7, 0.004636706), (8, 0.003431952), (9, 0.0045170435)]","[(2, 0.96410555), (6, 0.00495236), (7, 0.004636706), (3, 0.004560412), (9, 0.0045170435), (1, 0.0039564003), (0, 0.0038208135), (8, 0.003431952), (5, 0.0030206349), (4, 0.0029981171)]",2
6," Bill & Hillary are on a trip back to Arkansas. They're almost out of gas, so Bill pulls into a service station on the outskirts of town. The attendant runs out of the station to serve them when Hillary realizes it's an old boyfriend from high school. She and the attendant chat as he gases up their car and cleans the windows. Then they all say good-bye.    As Bill pulls the car onto the road, he turns to Hillary and says, 'Now aren't you glad you married me and not him ? You could've been the wife of a grease monkey !'    To which Hillary replied, 'No, Bill. If I would have married him, you'd be pumping gas and he would be the President !'  ",bill trip arkansas re gas bill service station town run station serve realizes boyfriend school attendant gas car window say bye bill pull car road turn say aren glad married could ve wife grease replied bill would married pumping gas would president,"[(0, 0.00075267017), (1, 0.0007793796), (2, 0.9929291), (3, 0.00089836516), (4, 0.0005906054), (5, 0.00059504126), (6, 0.0009755759), (7, 0.0009133945), (8, 0.0006760675), (9, 0.0008898219)]","[(2, 0.9929291), (6, 0.0009755759), (7, 0.0009133945), (3, 0.00089836516), (9, 0.0008898219), (1, 0.0007793796), (0, 0.00075267017), (8, 0.0006760675), (5, 0.00059504126), (4, 0.0005906054)]",2
7, How many feminists does it take to screw in a light bulb?  That's not funny. ,take bulb funny,"[(0, 0.009538888), (1, 0.009877387), (2, 0.012400951), (3, 0.011385338), (4, 0.007484977), (5, 0.007541194), (6, 0.01236386), (7, 0.011575811), (8, 0.9065545), (9, 0.011277067)]","[(8, 0.9065545), (2, 0.012400951), (6, 0.01236386), (7, 0.011575811), (3, 0.011385338), (9, 0.011277067), (1, 0.009877387), (0, 0.009538888), (5, 0.007541194), (4, 0.007484977)]",8
8, Q. Did you hear about the dyslexic devil worshiper?    A. He sold his soul to Santa. ,hear devil sold soul santa,"[(0, 0.005967147), (1, 0.006178899), (2, 0.0077575394), (3, 0.007122213), (4, 0.0046823025), (5, 0.0047174697), (6, 0.94391876), (7, 0.0072413646), (8, 0.0053598434), (9, 0.007054482)]","[(6, 0.94391876), (2, 0.0077575394), (7, 0.0072413646), (3, 0.007122213), (9, 0.007054482), (1, 0.006178899), (0, 0.005967147), (8, 0.0053598434), (5, 0.0047174697), (4, 0.0046823025)]",6
9," A country guy goes into a city bar that has a dress code, and the maitre d'  demands he wear a tie. Discouraged, the guy goes to his car to sulk when  inspiration strikes: He's got jumper cables in the trunk! So he wraps them around his neck, sort of like a string tie (a bulky string tie to be sure) and returns to the bar. The maitre d' is reluctant, but says to the guy, ""Okay, you're a pretty resourceful fellow, you can come in... but just don't start anything""!   ",country guy go city bar dress code maitre demand discouraged guy go car sulk inspiration strike got cable trunk wrap sort string bulky string return bar maitre say re come start anything,"[(0, 0.0009854126), (1, 0.0010203813), (2, 0.0012810775), (3, 0.0011761598), (4, 0.0007732339), (5, 0.0007790413), (6, 0.0012772458), (7, 0.9906573), (8, 0.0008851227), (9, 0.0011649748)]","[(7, 0.9906573), (2, 0.0012810775), (6, 0.0012772458), (3, 0.0011761598), (9, 0.0011649748), (1, 0.0010203813), (0, 0.0009854126), (8, 0.0008851227), (5, 0.0007790413), (4, 0.0007732339)]",7
10," Two cannibals are eating a clown, one turns to other and says:   ""Does this taste funny to you?    ",eating turn say taste funny,"[(0, 0.005967055), (1, 0.0061788037), (2, 0.94394284), (3, 0.007122103), (4, 0.0046822303), (5, 0.0047173966), (6, 0.0077342177), (7, 0.007241253), (8, 0.0053597605), (9, 0.007054373)]","[(2, 0.94394284), (6, 0.0077342177), (7, 0.007241253), (3, 0.007122103), (9, 0.007054373), (1, 0.0061788037), (0, 0.005967055), (8, 0.0053597605), (5, 0.0047173966), (4, 0.0046822303)]",2
11," Q. What do a hurricane, a tornado, and a redneck divorce all have in common?   A. Someone's going to lose their trailer... ",hurricane tornado redneck divorce someone going trailer,"[(0, 0.95791304), (1, 0.0044953884), (2, 0.0056439103), (3, 0.0051816856), (4, 0.0034065566), (5, 0.0034321418), (6, 0.0056270296), (7, 0.005268373), (8, 0.0038994935), (9, 0.005132409)]","[(0, 0.95791304), (2, 0.0056439103), (6, 0.0056270296), (7, 0.005268373), (3, 0.0051816856), (9, 0.005132409), (1, 0.0044953884), (8, 0.0038994935), (5, 0.0034321418), (4, 0.0034065566)]",0
12," A guy stood over his tee shot for what seemed an eternity, looking up, looking down, measuring the distance, figuring the wind direction and speed. Driving his partner nuts.   Finally his exasperated partner says, ""What the hell is taking so long? Hit the goddamn ball!"" The guy answers, ""My wife is up there watching me from the clubhouse. I want to make this a perfect shot."" ""Well, hell, man, you don't stand a snowball's chance in hell of hitting her from here!""  ",guy stood tee shot seemed eternity looking looking measuring distance figuring direction speed driving partner nut exasperated partner say hell taking hit goddamn ball guy answer wife watching clubhouse want make perfect shot man stand chance hell hitting,"[(0, 0.0008311889), (1, 0.0008606848), (2, 0.0010805803), (3, 0.000992083), (4, 0.0006522176), (5, 0.0006571161), (6, 0.0010773482), (7, 0.0010086801), (8, 0.0007465951), (9, 0.99209356)]","[(9, 0.99209356), (2, 0.0010805803), (6, 0.0010773482), (7, 0.0010086801), (3, 0.000992083), (1, 0.0008606848), (0, 0.0008311889), (8, 0.0007465951), (5, 0.0006571161), (4, 0.0006522176)]",9
13," They asked the Japanese visitor if they have elections in his country.     ""Every Morning"" he answers. ",asked visitor election country morning answer,"[(0, 0.005025989), (1, 0.005204343), (2, 0.006533995), (3, 0.95224845), (4, 0.0039437944), (5, 0.0039734147), (6, 0.006514452), (7, 0.0060992325), (8, 0.004514471), (9, 0.005941826)]","[(3, 0.95224845), (2, 0.006533995), (6, 0.006514452), (7, 0.0060992325), (9, 0.005941826), (1, 0.005204343), (0, 0.005025989), (8, 0.004514471), (5, 0.0039734147), (4, 0.0039437944)]",3
14," The father was very anxious to marry off his only daughter so he wanted  to impress her date. ""Do  you like to screw,"" he says. ""Huh"" replied the  surprised first date. ""My daughter she loves to screw and she's good at it,  you and her  should go screw,"" carefully explained the father. Now very  interested the boy replied, ""Yes, sir."" Minutes later the girl came down  the stairs, kissed her father goodbye and the couple left. After only a  few minutes she reappeared, furious, dress torn, hair a mess and screamed ""Dammit, Daddy, it's the TWIST, get it straight!""  ",marry daughter wanted date screw say huh replied date daughter love screw go screw explained boy replied sir minute came stair kissed couple left minute reappeared dress hair mess screamed dammit daddy twist get straight,"[(0, 0.00090175035), (1, 0.0009337501), (2, 0.001172313), (3, 0.001076303), (4, 0.0007075857), (5, 0.00071290013), (6, 0.991525), (7, 0.001094309), (8, 0.00080997514), (9, 0.0010660676)]","[(6, 0.991525), (2, 0.001172313), (7, 0.001094309), (3, 0.001076303), (9, 0.0010660676), (1, 0.0009337501), (0, 0.00090175035), (8, 0.00080997514), (5, 0.00071290013), (4, 0.0007075857)]",6
15, Q:  What did the blind person say when given some matzah?    A:  Who the hell wrote this? ,person say given matzah hell wrote,"[(0, 0.005025861), (1, 0.95145524), (2, 0.0065338286), (3, 0.0059987213), (4, 0.003943694), (5, 0.0039733136), (6, 0.006514286), (7, 0.0060990774), (8, 0.004514356), (9, 0.005941675)]","[(1, 0.95145524), (2, 0.0065338286), (6, 0.006514286), (7, 0.0060990774), (3, 0.0059987213), (9, 0.005941675), (0, 0.005025861), (8, 0.004514356), (5, 0.0039733136), (4, 0.003943694)]",1
16, Q. What is orange and sounds like a parrot?      A. A carrot. ,orange sound parrot carrot,"[(0, 0.007341698), (1, 0.007602228), (2, 0.009544513), (3, 0.008762837), (4, 0.005760886), (5, 0.0058041536), (6, 0.009515965), (7, 0.008909436), (8, 0.0065945), (9, 0.9301638)]","[(9, 0.9301638), (2, 0.009544513), (6, 0.009515965), (7, 0.008909436), (3, 0.008762837), (1, 0.007602228), (0, 0.007341698), (8, 0.0065945), (5, 0.0058041536), (4, 0.005760886)]",9
17, How many men does it take to screw in a light bulb?    One...men will screw anything.  ,men take screw light bulb men screw anything,"[(0, 0.0038206703), (1, 0.003956252), (2, 0.0049670306), (3, 0.004560241), (4, 0.0029980047), (5, 0.0030205215), (6, 0.004952174), (7, 0.0046365317), (8, 0.9625717), (9, 0.004516874)]","[(8, 0.9625717), (2, 0.0049670306), (6, 0.004952174), (7, 0.0046365317), (3, 0.004560241), (9, 0.004516874), (1, 0.003956252), (0, 0.0038206703), (5, 0.0030205215), (4, 0.0029980047)]",8
18," A dog walks into Western Union and asks the clerk to send a telegram. He fills out a form on which he writes down the telegram he wishes to send: ""Bow wow wow, Bow wow wow.""   The clerk says, ""You can add another 'Bow wow' for the same price.""   The dog responded, ""Now wouldn't that sound a little silly?""  ",dog walk union asks send telegram fill form writes send bow wow wow bow wow wow clerk say bow wow price dog responded,"[(0, 0.0013653247), (1, 0.98681235), (2, 0.0017749789), (3, 0.0016296118), (4, 0.0010713433), (5, 0.0010793898), (6, 0.00176967), (7, 0.0016568745), (8, 0.0012263694), (9, 0.0016141145)]","[(1, 0.98681235), (2, 0.0017749789), (6, 0.00176967), (7, 0.0016568745), (3, 0.0016296118), (9, 0.0016141145), (0, 0.0013653247), (8, 0.0012263694), (5, 0.0010793898), (4, 0.0010713433)]",1
19," Q: If a person who speaks three languages is called ""tri-lingual,"" and a person who speaks two languages is called ""bi-lingual,"" what do call a person who only speaks one language?   A: American!  ",person speaks language called person speaks language called call person speaks language,"[(0, 0.0025822863), (1, 0.9750577), (2, 0.0033570796), (3, 0.0030821417), (4, 0.002026269), (5, 0.0020414877), (6, 0.0033470388), (7, 0.0031337047), (8, 0.0023194752), (9, 0.0030528312)]","[(1, 0.9750577), (2, 0.0033570796), (6, 0.0033470388), (7, 0.0031337047), (3, 0.0030821417), (9, 0.0030528312), (0, 0.0025822863), (8, 0.0023194752), (5, 0.0020414877), (4, 0.002026269)]",1
20, What's the difference between a MacIntosh and an Etch-A-Sketch?    You don't have to shake the Mac to clear the screen.  ,difference macintosh etch sketch shake mac screen,"[(0, 0.0043413052), (1, 0.0044953623), (2, 0.0056438777), (3, 0.0051816558), (4, 0.0034065368), (5, 0.003432122), (6, 0.0056269974), (7, 0.005268343), (8, 0.0038994711), (9, 0.95870435)]","[(9, 0.95870435), (2, 0.0056438777), (6, 0.0056269974), (7, 0.005268343), (3, 0.0051816558), (1, 0.0044953623), (0, 0.0043413052), (8, 0.0038994711), (5, 0.003432122), (4, 0.0034065368)]",9
21," What's the difference between a used tire and 365 used condoms?   One's a Goodyear, the other's a great year. ",difference used tire used condom goodyear year,"[(0, 0.004341284), (1, 0.00449534), (2, 0.0056438497), (3, 0.0051816297), (4, 0.0034065198), (5, 0.0034321048), (6, 0.95919913), (7, 0.0052683163), (8, 0.0038994516), (9, 0.005132354)]","[(6, 0.95919913), (2, 0.0056438497), (7, 0.0052683163), (3, 0.0051816297), (9, 0.005132354), (1, 0.00449534), (0, 0.004341284), (8, 0.0038994516), (5, 0.0034321048), (4, 0.0034065198)]",6
